epoch,loss,val_loss
0,0.007567415479570627,NA
1,0.004855933599174023,NA
2,0.004180795047432184,NA
3,0.003916807938367128,NA
4,0.003787878667935729,NA
5,0.003707484807819128,NA
6,0.003650395665317774,NA
7,0.003605128498747945,NA
8,0.0035659465938806534,NA
9,0.0035326152574270964,NA
10,0.0035052839666604996,NA
11,0.0034789699129760265,NA
12,0.003454941790550947,NA
13,0.003437521867454052,NA
14,0.0034177578054368496,NA
15,0.0034009492956101894,NA
16,0.003385030198842287,NA
17,0.0033736154437065125,NA
18,0.003358585759997368,NA
19,0.0033493167720735073,NA
20,0.003338009351864457,NA
21,0.0033292784355580807,NA
22,0.0033209379762411118,NA
23,0.0033100550062954426,NA
24,0.0033005496952682734,NA
25,0.0032921668607741594,NA
26,0.003281376324594021,NA
27,0.00327152106910944,NA
28,0.0032619002740830183,NA
29,0.0032536673825234175,NA
30,0.0032467911951243877,NA
31,0.003240846563130617,NA
32,0.00323752174153924,NA
33,0.0032317331060767174,NA
34,0.003229335881769657,NA
35,0.003222102066501975,NA
36,0.003218566533178091,NA
37,0.003214029362425208,NA
38,0.003210660768672824,NA
39,0.003206617431715131,NA
40,0.0032027759589254856,NA
41,0.0031996655743569136,NA
42,0.003198979888111353,NA
43,0.0031939807813614607,NA
44,0.0031904003117233515,NA
45,0.0031864293850958347,NA
46,0.0031846545170992613,NA
47,0.003181746695190668,NA
48,0.003180186962708831,NA
49,0.0031772428192198277,NA
